Cargo	Agrupacion	Seccion	Votos
DIPUTADOS NACIONALES	MOVIMIENTO AL SOCIALISMO	Comuna 2	149
DIPUTADOS NACIONALES	LA LIBERTAD AVANZA	Comuna 2	12461
DIPUTADOS NACIONALES	JUNTOS POR EL CAMBIO	Comuna 2	59591
DIPUTADOS NACIONALES	FRENTE DE TODOS	Comuna 2	13022
DIPUTADOS NACIONALES	FRENTE DE IZQUIERDA Y DE TRABAJADORES	Comuna 2	3809
DIPUTADOS NACIONALES	FEDERAL	Comuna 2	351
DIPUTADOS NACIONALES	DIGNIDAD POPULAR	Comuna 2	103
DIPUTADOS NACIONALES	AUTONOMISTA	Comuna 2	117
DIPUTADOS NACIONALES	AUTODETERMINACIÓN Y LIBERTAD	Comuna 2	1482
DIPUTADOS NACIONALES	APTITUD RENOVADORA	Comuna 2	192
DIPUTADOS NACIONALES		Comuna 2	2039
DIPUTADOS NACIONALES	SOCIALISTA AUTÉNTICO	Comuna 1	687
DIPUTADOS NACIONALES	RENOVADOR FEDERAL	Comuna 1	143
DIPUTADOS NACIONALES	POLÍTICA OBRERA	Comuna 1	547
DIPUTADOS NACIONALES	MOVIMIENTO LIBRES DEL SUR	Comuna 1	462
DIPUTADOS NACIONALES	MOVIMIENTO AL SOCIALISMO	Comuna 1	316
DIPUTADOS NACIONALES	LA LIBERTAD AVANZA	Comuna 1	15322
DIPUTADOS NACIONALES	JUNTOS POR EL CAMBIO	Comuna 1	51610
DIPUTADOS NACIONALES	FRENTE DE TODOS	Comuna 1	28116
DIPUTADOS NACIONALES	FRENTE DE IZQUIERDA Y DE TRABAJADORES	Comuna 1	6435
DIPUTADOS NACIONALES	FEDERAL	Comuna 1	557
DIPUTADOS NACIONALES	DIGNIDAD POPULAR	Comuna 1	250
DIPUTADOS NACIONALES	AUTONOMISTA	Comuna 1	193
DIPUTADOS NACIONALES	AUTODETERMINACIÓN Y LIBERTAD	Comuna 1	2415
DIPUTADOS NACIONALES	APTITUD RENOVADORA	Comuna 1	496
DIPUTADOS NACIONALES		Comuna 1	3355
DIPUTADOS PROVINCIALES	SOCIALISTA AUTÉNTICO	Comuna 15	838
DIPUTADOS PROVINCIALES	POLÍTICA OBRERA	Comuna 15	645
DIPUTADOS PROVINCIALES	MOVIMIENTO LIBRES DEL SUR	Comuna 15	546
DIPUTADOS PROVINCIALES	MOVIMIENTO AL SOCIALISMO	Comuna 15	351
DIPUTADOS PROVINCIALES	LA LIBERTAD AVANZA	Comuna 15	14353
DIPUTADOS PROVINCIALES	JUNTOS POR EL CAMBIO	Comuna 15	51403
DIPUTADOS PROVINCIALES	FRENTE DE TODOS	Comuna 15	32361
DIPUTADOS PROVINCIALES	FRENTE DE IZQUIERDA Y DE TRABAJADORES	Comuna 15	9483
DIPUTADOS PROVINCIALES	FEDERAL	Comuna 15	525
DIPUTADOS PROVINCIALES	AUTONOMISTA	Comuna 15	233
DIPUTADOS PROVINCIALES	AUTODETERMINACIÓN Y LIBERTAD	Comuna 15	4396
DIPUTADOS PROVINCIALES		Comuna 15	5342
DIPUTADOS PROVINCIALES	SOCIALISTA AUTÉNTICO	Comuna 14	858
DIPUTADOS PROVINCIALES	POLÍTICA OBRERA	Comuna 14	378
DIPUTADOS PROVINCIALES	MOVIMIENTO LIBRES DEL SUR	Comuna 14	530
DIPUTADOS PROVINCIALES	MOVIMIENTO AL SOCIALISMO	Comuna 14	255
DIPUTADOS PROVINCIALES	LA LIBERTAD AVANZA	Comuna 14	18426
